id,team_id,year,att,made,range
783,0,1975,7,3,3
784,0,1975,0,0,4
785,0,1975,0,0,5
786,1,1975,0,0,0
787,1,1975,7,3,1
788,1,1975,6,5,2
789,1,1975,7,4,3
790,1,1975,0,0,4
791,1,1975,0,0,5
792,2,1975,1,1,0
793,2,1975,8,5,1
794,2,1975,7,1,2
795,2,1975,5,3,3
796,2,1975,0,0,4
797,2,1975,0,0,5
798,3,1975,1,0,0
799,3,1975,2,2,1
800,3,1975,5,4,2
801,3,1975,7,3,3
802,3,1975,0,0,4
803,3,1975,0,0,5
804,4,1975,1,1,0
805,4,1975,9,7,1
806,4,1975,9,7,2
807,4,1975,7,4,3
808,4,1975,0,0,4
809,4,1975,0,0,5
810,5,1975,1,1,0
811,5,1975,9,7,1
812,5,1975,6,4,2
813,5,1975,5,5,3
814,5,1975,0,0,4
815,5,1975,0,0,5
816,7,1975,0,0,0
817,7,1975,11,10,1
818,7,1975,7,5,2
819,7,1975,6,4,3
820,7,1975,0,0,4
821,7,1975,0,0,5
822,8,1975,0,0,0
823,8,1975,4,4,1
824,8,1975,9,5,2
825,8,1975,9,3,3
826,8,1975,0,0,4
827,8,1975,0,0,5
828,9,1975,1,1,0
829,9,1975,8,7,1
830,9,1975,9,8,2
831,9,1975,10,5,3
832,9,1975,0,0,4
833,9,1975,0,0,5
834,10,1975,2,2,0
835,10,1975,3,0,1
836,10,1975,10,7,2
837,10,1975,3,1,3
838,10,1975,0,0,4
839,10,1975,0,0,5
840,12,1975,2,2,0
841,12,1975,13,12,1
842,12,1975,10,5,2
843,12,1975,9,3,3
844,12,1975,0,0,4
845,12,1975,0,0,5
846,13,1975,1,1,0
847,13,1975,5,5,1
848,13,1975,7,6,2
849,13,1975,2,1,3
850,13,1975,0,0,4
851,13,1975,0,0,5
852,14,1975,1,1,0
853,14,1975,11,8,1
854,14,1975,3,3,2
855,14,1975,13,7,3
856,14,1975,0,0,4
857,14,1975,0,0,5
858,15,1975,0,0,0
859,15,1975,3,3,1
860,15,1975,3,0,2
861,15,1975,4,1,3
862,15,1975,0,0,4
863,15,1975,0,0,5
864,16,1975,0,0,0
865,16,1975,2,2,1
866,16,1975,6,3,2
867,16,1975,3,1,3
868,16,1975,0,0,4
869,16,1975,0,0,5
870,18,1975,0,0,0
871,18,1975,3,3,1
872,18,1975,5,3,2
873,18,1975,12,7,3
874,18,1975,0,0,4
875,18,1975,0,0,5
876,19,1975,1,1,0
877,19,1975,6,6,1
878,19,1975,9,4,2
879,19,1975,5,3,3
880,19,1975,0,0,4
881,19,1975,0,0,5
882,30,1975,0,0,0
883,30,1975,9,8,1
884,30,1975,8,4,2
885,30,1975,12,6,3
886,30,1975,0,0,4
887,30,1975,0,0,5
888,20,1975,1,1,0
889,20,1975,8,7,1
890,20,1975,3,2,2
891,20,1975,5,2,3
892,20,1975,0,0,4
893,20,1975,0,0,5
894,22,1975,1,1,0
895,22,1975,1,1,1
896,22,1975,6,5,2
897,22,1975,8,2,3
898,22,1975,0,0,4
899,22,1975,0,0,5
900,23,1975,2,2,0
901,23,1975,8,7,1
902,23,1975,6,4,2
903,23,1975,5,0,3
904,23,1975,0,0,4
905,23,1975,0,0,5
906,24,1975,2,2,0
907,24,1975,7,7,1
908,24,1975,10,7,2
909,24,1975,5,4,3
910,24,1975,0,0,4
911,24,1975,0,0,5
912,11,1975,0,0,0
913,11,1975,3,1,1
914,11,1975,10,9,2
915,11,1975,9,6,3
916,11,1975,0,0,4
917,11,1975,0,0,5
918,26,1975,1,1,0
919,26,1975,5,4,1
920,26,1975,6,3,2
921,26,1975,7,2,3
922,26,1975,0,0,4
923,26,1975,0,0,5
924,28,1975,4,4,0
925,28,1975,7,7,1
926,28,1975,7,5,2
927,28,1975,2,1,3
928,28,1975,0,0,4
929,28,1975,0,0,5
930,31,1975,0,0,0
931,31,1975,3,3,1
932,31,1975,6,6,2
933,31,1975,7,3,3
934,31,1975,0,0,4
935,31,1975,0,0,5
936,0,1976,3,3,0
937,0,1976,8,5,1
938,0,1976,8,4,2
939,0,1976,8,4,3
940,0,1976,0,0,4
941,0,1976,0,0,5
942,1,1976,0,0,0
943,1,1976,3,3,1
944,1,1976,6,4,2
945,1,1976,11,5,3
946,1,1976,0,0,4
947,1,1976,0,0,5
948,2,1976,1,1,0
949,2,1976,8,6,1
950,2,1976,4,2,2
951,2,1976,8,3,3
952,2,1976,0,0,4
953,2,1976,0,0,5
954,3,1976,0,0,0
955,3,1976,8,5,1
956,3,1976,8,4,2
957,3,1976,7,4,3
958,3,1976,0,0,4
959,3,1976,0,0,5
960,4,1976,1,1,0
961,4,1976,8,7,1
962,4,1976,5,4,2
963,4,1976,7,3,3
964,4,1976,0,0,4
965,4,1976,0,0,5
966,5,1976,2,2,0
967,5,1976,6,3,1
968,5,1976,6,5,2
969,5,1976,11,4,3
970,5,1976,0,0,4
971,5,1976,0,0,5
972,6,1976,1,1,0
973,6,1976,2,1,1
974,6,1976,9,4,2
975,6,1976,5,2,3
976,6,1976,0,0,4
977,6,1976,0,0,5
978,7,1976,0,0,0
979,7,1976,11,10,1
980,7,1976,8,6,2
981,7,1976,8,4,3
982,7,1976,0,0,4
983,7,1976,0,0,5
984,8,1976,0,0,0
985,8,1976,3,2,1
986,8,1976,7,4,2
987,8,1976,9,4,3
988,8,1976,0,0,4
989,8,1976,0,0,5
990,9,1976,0,0,0
991,9,1976,11,7,1
992,9,1976,9,6,2
993,9,1976,15,7,3
994,9,1976,0,0,4
995,9,1976,0,0,5
996,10,1976,0,0,0
997,10,1976,9,9,1
998,10,1976,11,10,2
999,10,1976,7,1,3
1000,10,1976,0,0,4
1001,10,1976,0,0,5
1002,12,1976,1,1,0
1003,12,1976,8,8,1
1004,12,1976,8,6,2
1005,12,1976,5,3,3
1006,12,1976,0,0,4
1007,12,1976,0,0,5
1008,13,1976,0,0,0
1009,13,1976,10,9,1
1010,13,1976,4,2,2
1011,13,1976,8,4,3
1012,13,1976,0,0,4
