id,team_id,year,ret,yds,td,20_plus,40_plus,lng,fc,fum
321,27,1981,32,293,0,4,0,34,6,2
322,28,1981,50,412,0,3,0,33,9,2
323,31,1981,39,303,0,0,0,18,10,3
324,0,1982,30,332,1,3,1,93,3,1
325,1,1982,24,142,0,0,0,17,11,4
326,2,1982,17,95,0,0,0,13,8,2
327,3,1982,26,119,0,1,0,21,7,3
328,4,1982,21,305,2,3,2,78,7,0
329,5,1982,23,134,0,0,0,14,6,2
330,6,1982,25,143,0,1,0,22,1,2
331,7,1982,32,192,0,0,0,15,1,2
332,8,1982,12,138,0,4,0,29,5,2
333,9,1982,15,129,0,1,0,30,6,1
334,10,1982,14,78,0,1,0,28,13,2
335,12,1982,30,242,0,1,0,26,0,4
336,13,1982,22,194,1,2,1,59,6,2
337,14,1982,22,108,0,0,0,11,3,2
338,15,1982,24,273,0,3,1,71,4,1
339,16,1982,44,373,0,4,0,33,3,0
340,18,1982,23,184,0,3,0,24,5,1
341,19,1982,26,275,0,1,1,58,5,1
342,30,1982,19,104,0,1,0,25,4,1
343,20,1982,26,198,0,1,0,35,6,1
344,22,1982,16,139,0,0,0,19,8,2
345,23,1982,27,209,0,2,0,25,7,4
346,24,1982,22,242,1,2,2,63,1,4
347,11,1982,38,295,0,1,0,28,2,0
348,26,1982,21,144,0,0,0,18,13,1
349,27,1982,21,228,0,4,0,37,14,1
350,28,1982,36,317,0,3,0,21,5,2
351,31,1982,24,196,0,2,0,35,6,2
352,0,1983,36,365,1,3,3,56,9,1
353,1,1983,56,447,1,4,1,59,7,2
354,2,1983,49,410,0,2,1,43,6,5
355,3,1983,44,241,0,1,0,24,5,5
356,4,1983,38,420,1,5,1,70,10,3
357,5,1983,42,310,0,0,0,19,12,1
358,6,1983,42,299,0,0,0,17,7,2
359,7,1983,58,461,0,3,0,34,4,4
360,8,1983,33,213,0,4,0,30,10,6
361,9,1983,40,291,0,0,0,19,14,1
362,10,1983,44,294,0,2,1,50,14,3
363,12,1983,51,461,1,4,1,68,6,3
364,13,1983,55,581,1,5,2,62,23,3
365,14,1983,45,259,0,1,0,23,10,7
366,15,1983,46,489,1,5,2,71,4,2
367,16,1983,55,377,0,3,0,27,7,7
368,18,1983,38,420,1,4,1,76,15,4
369,19,1983,46,522,1,4,3,81,9,5
370,30,1983,20,159,0,1,0,23,9,2
371,20,1983,41,329,1,3,1,90,13,2
372,22,1983,44,399,0,4,2,55,14,10
373,23,1983,58,666,1,8,1,97,18,8
374,24,1983,55,538,1,5,2,72,8,6
375,11,1983,49,387,0,5,1,42,5,1
376,26,1983,39,275,0,1,0,30,15,3
377,27,1983,34,366,1,1,1,75,6,2
378,28,1983,51,421,0,3,1,57,9,5
379,31,1983,24,210,0,1,0,34,15,2
380,0,1984,45,521,1,3,2,79,11,1
381,1,1984,63,558,0,4,0,28,11,4
382,2,1984,38,473,0,8,2,55,11,2
383,3,1984,33,297,1,2,1,65,8,2
384,4,1984,41,318,0,3,0,35,12,3
385,5,1984,40,322,0,0,0,19,13,0
386,6,1984,34,207,0,1,0,21,5,3
387,7,1984,47,399,0,2,0,39,5,5
388,8,1984,33,212,1,1,1,58,12,6
389,9,1984,42,346,0,4,0,27,15,1
390,10,1984,38,278,0,1,0,35,12,7
391,12,1984,54,446,0,0,0,18,15,1
392,13,1984,39,365,0,6,0,37,27,1
393,14,1984,40,250,0,0,0,16,19,0
394,15,1984,41,264,0,1,0,37,4,4
395,16,1984,55,368,0,3,0,31,18,1
396,18,1984,35,324,0,4,0,33,12,2
397,19,1984,36,241,0,1,0,23,11,4
398,30,1984,26,152,0,0,0,18,8,1
399,20,1984,48,351,0,2,0,39,16,2
400,22,1984,48,430,0,7,2,55,15,3
401,23,1984,67,667,1,6,1,69,17,9
