id,team_id,year,xp_md,xp_pct,2pt_md,fg_lng,fg_blk
405,27,1984,50,98.0,0,50,0
406,28,1984,45,100.0,0,55,1
407,31,1984,30,96.8,0,54,0
408,0,1985,52,98.1,0,45,4
409,1,1985,51,100.0,0,46,0
410,2,1985,48,96.0,0,53,0
411,3,1985,23,100.0,0,49,0
412,4,1985,41,93.2,0,48,1
413,5,1985,35,100.0,0,45,1
414,6,1985,30,93.8,0,53,1
415,7,1985,33,97.1,0,49,0
416,8,1985,53,93.0,0,46,2
417,9,1985,35,100.0,0,58,0
418,10,1985,36,92.3,0,41,1
419,12,1985,42,97.7,0,53,0
420,13,1985,50,96.2,0,49,1
421,14,1985,29,100.0,0,52,0
422,15,1985,29,100.0,0,52,3
423,16,1985,45,95.7,0,52,0
424,18,1985,43,95.6,0,55,1
425,19,1985,31,93.9,0,51,0
426,30,1985,29,93.6,0,52,0
427,20,1985,38,95.0,0,46,3
428,22,1985,40,97.6,0,50,0
429,23,1985,40,95.2,0,51,1
430,24,1985,38,97.4,0,52,0
431,11,1985,31,93.9,0,48,0
432,26,1985,27,93.1,0,55,1
433,27,1985,40,95.2,0,51,0
434,28,1985,40,100.0,0,52,0
435,31,1985,41,95.4,0,49,3
436,0,1986,41,97.6,0,50,2
437,1,1986,36,97.3,0,52,2
438,2,1986,50,98.0,0,51,1
439,3,1986,32,94.1,0,48,1
440,4,1986,44,97.8,0,51,0
441,5,1986,43,97.7,0,52,1
442,6,1986,26,96.3,0,55,1
443,7,1986,23,88.5,0,47,1
444,8,1986,39,95.1,0,50,2
445,9,1986,43,100.0,0,47,1
446,10,1986,26,96.3,0,52,0
447,12,1986,43,100.0,0,50,0
448,13,1986,52,94.6,0,52,1
449,14,1986,26,96.3,0,50,1
450,15,1986,29,96.7,0,49,2
451,16,1986,41,100.0,0,46,1
452,18,1986,44,100.0,0,50,1
453,19,1986,31,96.9,0,52,0
454,30,1986,28,96.6,0,51,0
455,20,1986,29,100.0,0,50,2
